horse_id,oldest_sibling_id,oldest_sibling_name,oldest_sibling_birth_year
2021110097,,,
2022101580,2023101062,セヴェンヌ,2023
2022102127,2023101523,モズオサキニ,2023
2022103242,2023105024,ダノンステート,2023
2022105081,2023107265,フェスティバルヒル,2023
2022110081,,,
2021105554,2022104807,シフォンカールの2022,2022
2021110099,,,
2022105827,2023106807,バランソワール,2023
2022110012,,,
2022110069,,Pioneer of Medina,2019
2020110024,,,
2021110128,,Cave Rock,2020
2022101638,2023101114,ファイタージェット,2023
2022105141,2023107319,クレアノア,2023
2022110015,,,
2021107166,2024106972,イリーサの2024,2024
2022105376,2023103448,サマーバンク,2023
2022106542,2024103359,テルヌーラの2024,2024
2020102904,2021105086,フクチャントウメイ,2021
2020103696,2021105877,ピュアスマイル,2021
2021105646,2020103475,チャイマックスの2020,2020
2020102767,2022105767,アルカナエ,2022
2020104936,2019104858,レッドジャービス,2019
2020106919,2021103277,メイショウマサユメ,2021
2022100702,2023100146,エムワンシゲル,2023
2022105241,2021104966,コンソルディーノ,2021
2021102221,2019106451,コパノライナス,2019
2022101241,2023100776,シャオママル,2023
2022104960,2021105698,パロネラの2021,2021
2019106030,2010104843,ムードティアラ,2010
2020104567,2007100191,ニホンピロアワーズ,2007
2021105360,2020103202,ハーンドルフ,2020
2021105432,2022104677,エイコンドライトの2022,2022
2020110081,2021103226,ウエヲムイテゴラン,2021
2021105054,2023103418,フクチャンショウ,2023
2020104597,2021104240,ショウナンマンテン,2021
2021103770,2023102635,ユナカラット,2023
2021106057,2023103972,クロムハーツガール,2023
2021106834,2022106818,マイネルステラート,2022
2022102264,2023106749,アトラステソーロ,2023
2020100138,2021100129,ペレストリーナ,2021
2020110116,,,
2021104991,2019104695,ヤマトノヒカリ,2019
2022101623,2023101101,エンカウンターベイ,2023
2022105887,2023103836,フロムレイブン,2023
2022105987,2023103909,リチュアルローズの2023,2023
2020100934,2021100937,プレアマール,2021
2022100394,2016102626,マイネルジェンマ,2016
2022103443,2023102312,ラブソング,2023
2022105385,2023103457,スピーチバルーン,2023
2020106131,2021102500,ジオパークピリカ,2021
2022104694,2023106928,カレリアフレイバー,2023
2022106605,2024103425,ヤマニンアンプリメの2024,2024
2021103345,2022103337,マイホームヒロイン,2022
2022105414,2024105952,テンサイドカップの2024,2024
2021110061,,,
2022104875,2023107087,ソラネルマン,2023
2022104893,2023107100,ダノンケリー,2023
2021103237,2020106871,ソアヴィータ,2020
2021110106,,Berned,2014
2021110148,2024110015,Noble Readyの2024,2024
2022102885,2023102084,アイアムジャイアン,2023
2022110060,,Daylight Ride,2009
2020105813,2021106847,ブラックシリカ,2021
2021105956,2019105632,ピンクエンブレム,2019
2021105141,2022105423,ラヴァフォール,2022
2022104887,2023100334,タンザニアブラックの2023,2023
2022105335,2023103406,サクライロマウコロ,2023
2020104174,2019106039,タケフェイス,2019
2021100260,2022100754,ミソタロ,2022
2021100446,2022100929,スパーク,2022
2021110084,,,
2022110082,,,
2020107214,2021107300,コーリングヘニー,2021
2021110121,,,
2020103173,2021105335,トーアマリシテン,2021
2022105836,2021104909,フラワーカンパニー,2021
2021103227,2022103207,ミュージシャン,2022
2021105549,2022104801,ハッコウイチウ,2022
2021105433,2023106911,ミスティックレイン,2023
